RT,I
3.665,813.0
3.67,754.0
3.675,783.0
3.68,827.0
3.685,846.0
3.69,766.0
3.695,823.0
3.7,804.0
3.705,759.0
3.71,705.0
3.7150000000000003,700.0
3.7199999999999998,743.0
3.725,766.0
3.73,814.0
3.735,812.0
3.74,791.0
3.7449999999999997,801.0
3.75,799.0
3.7550000000000003,745.0
3.76,740.0
3.765,751.0
3.77,724.0
3.775,705.0
3.7800000000000002,738.0
3.7849999999999997,722.0
3.79,703.0
3.795,698.0
3.8,678.0
3.805,754.0
3.81,807.0
3.815,777.0
3.82,722.0
3.825,708.0
3.83,754.0
3.835,734.0
3.8400000000000003,637.0
3.8449999999999998,689.0
3.85,756.0
3.855,729.0
3.86,669.0
3.865,598.0
3.8699999999999997,631.0
3.875,671.0
3.8800000000000003,687.0
3.885,721.0
3.89,705.0
3.895,650.0
3.9,672.0
3.9050000000000002,712.0
3.9099999999999997,714.0
3.915,703.0
3.92,698.0
3.925,684.0
3.93,724.0
3.935,719.0
3.94,727.0
3.945,776.0
3.95,717.0
3.955,572.0
3.96,543.0
3.9650000000000003,649.0
3.9699999999999998,746.0
3.975,686.0
3.98,656.0
3.985,604.0
3.99,566.0
3.9949999999999997,585.0
4.0,615.0
4.005,644.0
4.01,644.0
4.015,607.0
4.02,631.0
4.025,657.0
4.03,669.0
4.035,785.0
4.04,953.0
4.045,1034.0
4.05,1065.0
4.055000000000001,1026.0
4.06,875.0
4.065,812.0
4.069999999999999,887.0
4.075,903.0
4.08,956.0
4.085,990.0
4.09,918.0
4.095,807.0
4.1,718.0
4.105,620.0
4.11,654.0
4.115,672.0
4.12,618.0
4.125,607.0
4.13,604.0
4.135,559.0
4.14,582.0
4.145,580.0
4.15,637.0
4.155,648.0
4.16,700.0
4.165,638.0
4.17,610.0
4.175,679.0
4.180000000000001,703.0
4.185,757.0
4.19,799.0
4.194999999999999,935.0
4.2,1074.0
4.205,1230.0
4.21,1218.0
4.215,943.0
4.22,728.0
4.225,644.0
4.23,614.0
4.235,618.0
4.24,588.0
4.245,564.0
4.25,610.0
4.255,641.0
4.26,636.0
4.265,639.0
4.27,572.0
4.275,533.0
4.28,588.0
4.285,606.0
4.29,554.0
4.295,558.0
4.3,602.0
4.305000000000001,657.0
4.3100000000000005,607.0
4.3149999999999995,553.0
4.319999999999999,570.0
4.325,607.0
4.33,562.0
4.335,530.0
4.34,567.0
4.345,612.0
4.35,612.0
4.355,582.0
4.36,638.0
4.364999999999999,639.0
4.37,528.0
4.375,512.0
4.38,601.0
4.385000000000001,617.0
4.39,598.0
4.395,612.0
4.4,572.0
4.405,542.0
4.41,568.0
4.415,569.0
4.42,531.0
4.425,545.0
4.430000000000001,577.0
4.4350000000000005,593.0
4.4399999999999995,607.0
4.444999999999999,578.0
4.45,526.0
4.455,542.0
4.46,582.0
4.465,586.0
4.47,626.0
4.475,616.0
