RT,I
9.335,566.0
9.34,569.0
9.345,508.0
9.35,442.0
9.354999999999999,494.0
9.360000000000001,594.0
9.365,594.0
9.370000000000001,505.0
9.375,476.0
9.379999999999999,522.0
9.385,508.0
9.389999999999999,511.0
9.395000000000001,554.0
9.4,561.0
9.405,536.0
9.41,491.0
9.415,518.0
9.42,601.0
9.425,595.0
9.43,511.0
9.435,424.0
9.44,426.0
9.445,485.0
9.45,466.0
9.455,448.0
9.46,528.0
9.465,570.0
9.47,551.0
9.475,572.0
9.479999999999999,627.0
9.485000000000001,619.0
9.49,513.0
9.495000000000001,428.0
9.5,454.0
9.504999999999999,506.0
9.51,558.0
9.514999999999999,562.0
9.520000000000001,538.0
9.525,527.0
9.53,523.0
9.535,527.0
9.54,564.0
9.545,625.0
9.55,617.0
9.555,530.0
9.56,495.0
9.565,489.0
9.57,503.0
9.575,548.0
9.58,534.0
9.585,504.0
9.59,476.0
9.595,447.0
9.6,450.0
9.604999999999999,482.0
9.610000000000001,518.0
9.615,493.0
9.620000000000001,440.0
9.625,434.0
9.629999999999999,474.0
9.635,530.0
9.639999999999999,514.0
9.645000000000001,462.0
9.65,443.0
9.655,465.0
9.66,499.0
9.665,500.0
9.67,515.0
9.675,560.0
9.68,606.0
9.685,572.0
9.69,494.0
9.695,521.0
9.7,626.0
9.705,612.0
9.71,497.0
9.715,450.0
9.72,468.0
9.725,534.0
9.729999999999999,534.0
9.735000000000001,476.0
9.74,460.0
9.745000000000001,446.0
9.75,420.0
9.754999999999999,431.0
9.76,421.0
9.764999999999999,465.0
9.770000000000001,530.0
9.775,534.0
9.78,466.0
9.785,426.0
9.79,476.0
9.795,567.0
9.8,642.0
9.805,626.0
9.81,524.0
9.815,475.0
9.82,495.0
9.825,513.0
9.83,562.0
9.835,612.0
9.84,606.0
9.845,577.0
9.85,559.0
9.854999999999999,528.0
9.860000000000001,556.0
9.865,591.0
9.870000000000001,530.0
9.875,506.0
9.879999999999999,553.0
9.885,570.0
9.889999999999999,587.0
9.895000000000001,624.0
9.9,619.0
9.905,611.0
9.91,601.0
9.915,580.0
9.92,551.0
9.925,522.0
9.93,530.0
9.935,547.0
9.94,537.0
9.945,486.0
9.95,433.0
9.955,433.0
9.96,476.0
9.965,493.0
9.97,530.0
9.975,615.0
9.979999999999999,625.0
9.985000000000001,570.0
9.99,545.0
9.995000000000001,521.0
10.0,588.0
10.004999999999999,649.0
10.01,581.0
10.014999999999999,568.0
10.020000000000001,625.0
10.025,583.0
10.03,514.0
10.035,488.0
10.04,500.0
10.045,568.0
10.05,572.0
10.055,534.0
10.06,560.0
10.065,537.0
10.07,497.0
10.075,508.0
10.08,514.0
10.085,513.0
10.09,516.0
10.095,490.0
10.1,448.0
10.104999999999999,471.0
10.110000000000001,529.0
10.115,558.0
10.120000000000001,535.0
10.125,490.0
10.129999999999999,516.0
10.135,498.0
10.139999999999999,435.0
10.145000000000001,431.0
10.15,493.0
10.155,541.0
10.16,559.0
10.165,539.0
10.17,480.0
10.175,473.0
10.18,486.0
10.185,524.0
10.19,580.0
10.195,520.0
10.2,466.0
10.205,479.0
10.21,534.0
10.215,577.0
10.22,553.0
10.225,482.0
10.229999999999999,446.0
10.235000000000001,482.0
10.24,521.0
10.245000000000001,526.0
